PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
LONG,10515520542017091812062457000910,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
LONG,10515520542017091812062457000910,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,10515520542017091812062457000910,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,10515520542017091812062457000910,4,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,10515520542017091812062457000910,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,10515520542017091812062457000910,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,10515520542017091812062457000910,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,10515520542017091812062457000910,4,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,LOW
OTHER,10515520542017091812062457000910,1,None,An average of three sensors per floor will provide less sensitive control,HIGH
OTHER,10515520542017091812062457000910,2,None,Water passes through all boilers even when on standby adding to standing losses.  Provide auto flue dampers or isolation,LOW
OTHER,10515520542017091812062457000910,3,None,Consider use of two port controls along with variable speed pumps to reduce pumping energy,MEDIUM
OTHER,10515520542017091812062457000910,4,None,Lighting controls do not allow for separate perimeter lighting to reflect the use of daylight.,LOW
OTHER,10515520542017091812062457000910,5,None,PC screens left on in office when unused,LOW
OTHER,10515520542017091812062457000910,6,None,T8/metal halide/compact fluorescent lighting may be improved by use of T5 and leds,MEDIUM
SHORT,10515520542017091812062457000910,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,10515520542017091812062457000910,10,V10,Consider with experts whether it would be worthwhile installing variable speed fans and volume control devices to the ventilation system.,MEDIUM
SHORT,10515520542017091812062457000910,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,10515520542017091812062457000910,3,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
SHORT,10515520542017091812062457000910,4,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",LOW
SHORT,10515520542017091812062457000910,5,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",HIGH
SHORT,10515520542017091812062457000910,6,CON18,Consider upgrading major time controls to include optimum start/stop.,LOW
SHORT,10515520542017091812062457000910,7,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
SHORT,10515520542017091812062457000910,8,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations),LOW
SHORT,10515520542017091812062457000910,9,AC23,Engage experts to review overall air conditioning strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
SHORT,112170970962019103023101930000955,1,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy.,LOW
SHORT,112170970962019103023101930000955,2,CON15,Consider installing weather compensator controls on heating and cooling systems.,LOW
LONG,111950570922017032714113883020630,1,AE5,Consider heating the building using biomass boiler(s).,HIGH
LONG,111950570922017032714113883020630,2,AE3,Consider installing building mounted solar water heating.,LOW
LONG,111950570922017032714113883020630,3,AE4,Consider installing building mounted photovoltaic electricity generating panels.,MEDIUM
MEDIUM,111950570922017032714113883020630,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
MEDIUM,111950570922017032714113883020630,2,BF9,Consider introducing orimproving cavity wall insulation.,LOW
MEDIUM,111950570922017032714113883020630,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,LOW
SHORT,111950570922017032714113883020630,1,CA11,"Consider how catering refrigerators can be relocated away or thermally isolated from sources of heat such as ovens, dishwashers etc.",LOW
SHORT,111950570922017032714113883020630,10,CON18,Consider upgrading major time controls to include optimum start/stop.,LOW
SHORT,111950570922017032714113883020630,11,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
SHORT,111950570922017032714113883020630,2,X11,Consider implementing a programme of planned lighting systems maintenance to maintain effectiveness and energy efficiency.,LOW
SHORT,111950570922017032714113883020630,3,CON15,Consider installing weather compensator controls on heating and cooling systems.,LOW
SHORT,111950570922017032714113883020630,4,X28,Consider with chefs and kitchen managers implementing a training programme and monitoring systems with incentives.,LOW
SHORT,111950570922017032714113883020630,5,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",LOW
SHORT,111950570922017032714113883020630,6,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations),LOW
SHORT,111950570922017032714113883020630,7,CA24,Consider installing heat recovery to catering refrigeration condensers in order to aid with HWS generation or to heat room air.,LOW
SHORT,111950570922017032714113883020630,8,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",LOW
SHORT,111950570922017032714113883020630,9,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
LONG,88110800062015091809591463930790,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,88110800062015091809591463930790,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
